帳號,題號,測試結果,執行時間,使用記憶體,程式語言,上傳時間
4,TIOJ-1002,Wrong Answer,25.7,17.25,python,2024-10-09 17:05:11.038912
4,TIOJ-1001,Accepted,26.3,16.29,python,2024-10-10 00:06:43.066358
4,TIOJ-1001,Accepted,25.9,17.25,python,2024-10-10 00:15:42.641676
4,TIOJ-1001,Accepted,25.5,17.25,python,2024-10-10 00:18:42.698006
4,TIOJ-1001,Accepted,25.5,16.29,python,2024-10-10 00:21:47.379921
4,TIOJ-1001,Accepted,25.2,17.25,python,2024-10-11 00:19:55.409167
4,TIOJ-1001,Accepted,25.4,17.25,python,2024-10-11 00:22:32.001946
4,TIOJ-1001,Accepted,25.3,17.25,python,2024-10-11 00:44:04.858488
4,TIOJ-1001,Accepted,25.8,17.25,python,2024-10-11 00:47:30.490924
4,TIOJ-1001,Accepted,26.0,17.25,python,2024-10-11 00:48:56.234788
3,TIOJ-1001,Accepted,25.2,17.25,python,2024-10-11 02:40:02.206878
3,TIOJ-1001,Accepted,2.7,5.91,cpp,2024-10-11 02:41:05.088563
3,TIOJ-1001,Wrong Answer,2.6,5.91,cpp,2024-10-11 02:41:32.638306
3,TIOJ-1001,Wrong Answer,2.6,5.91,cpp,2024-10-11 02:42:08.587949
3,TIOJ-1001,Accepted,2.6,5.91,cpp,2024-10-11 02:42:24.638704
3,TIOJ-1001,Wrong Answer,2.6,5.91,cpp,2024-10-11 02:42:47.017963
3,TIOJ-1001,Accepted,25.4,17.25,python,2024-10-11 02:56:29.669713
3,TIOJ-1001,Accepted,25.7,17.25,python,2024-10-11 02:57:15.713024
3,TIOJ-1001,Accepted,25.7,16.29,python,2024-10-11 02:57:36.691229
3,TIOJ-1001,Accepted,25.4,16.29,python,2024-10-11 02:57:54.789122
3,TIOJ-1001,Accepted,25.6,16.29,python,2024-10-11 02:58:21.555020
3,TIOJ-1001,Accepted,25.7,16.29,python,2024-10-11 03:00:19.554791
3,TIOJ-1001,Validating,26.0,16.29,python,2024-10-11 03:00:40.092687
3,TIOJ-1001,Accepted,25.8,16.29,python,2024-10-11 03:01:03.950079
3,TIOJ-1002,Validating,25.8,16.29,python,2024-10-11 19:54:46.155980
3,TIOJ-1002,Validating,25.5,17.25,python,2024-10-11 19:55:17.674593
3,TIOJ-1002,Accepted,25.6,16.29,python,2024-10-11 19:57:17.590259
3,TIOJ-1002,Accepted,25.2,16.29,python,2024-10-11 19:58:18.343734
3,TIOJ-1001,Accepted,25.4,16.29,python,2024-10-12 16:46:45.281334
3,TIOJ-1001,Accepted,25.2,17.25,python,2024-10-12 16:47:30.252820
3,TIOJ-1001,Accepted,25.9,16.29,python,2024-10-12 16:49:00.655864
3,TIOJ-1001,Accepted,25.2,17.25,python,2024-10-12 16:49:41.714982
3,TIOJ-1001,Accepted,25.4,17.25,python,2024-10-12 16:50:16.220839
3,TIOJ-1001,Accepted,26.5,16.29,python,2024-10-12 16:50:43.890936
3,TIOJ-1001,Accepted,25.3,16.29,python,2024-10-12 16:51:20.076056
3,TIOJ-1001,Accepted,26.4,16.29,python,2024-10-12 17:39:27.910315
3,TIOJ-1001,Accepted,25.8,17.25,python,2024-10-12 17:39:53.905021
3,TIOJ-1001,Accepted,25.5,16.29,python,2024-10-12 17:40:22.511927
3,TIOJ-1001,Accepted,25.5,17.25,python,2024-10-12 17:40:56.711167
3,TIOJ-1001,Accepted,25.4,16.29,python,2024-10-12 17:42:28.524529
3,TIOJ-1001,Accepted,25.3,17.25,python,2024-10-12 19:38:05.455627
3,TIOJ-1001,Accepted,25.6,16.29,python,2024-10-13 21:22:55.593650
3,TIOJ-1001,Accepted,25.2,17.25,python,2024-10-13 21:24:12.323325
3,TIOJ-1001,Accepted,25.8,16.29,python,2024-10-18 15:57:53.423525
3,TIOJ-1001,Wrong Answer,25.0,16.29,python,2024-10-18 16:08:56.651354
3,TIOJ-1003,Wrong Answer,26.2,17.25,python,2024-10-18 16:11:41.600087
3,TIOJ-1016,Wrong Answer,25.8,17.25,python,2024-10-18 18:11:25.619299
17,CA-a045,Accepted,8ms,3.3MB,python,2024-10-19 09:59
17,CA-a045,Accepted,8ms,3.3MB,python,2024-10-19 10:34
3,TIOJ-1006,Accepted,25.5,16.29,python,2024-10-19 10:39:04.111221
3,TIOJ-1006,Accepted,26.2,17.25,python,2024-10-19 10:40:14.803283
